Date exported;Status;Employee number (salary administration);Branch;Hour Code;Journey date;Journey Distance;Distance Unit of Measure;Mobility type;Travel route;Fuel type
45510;Exported;00000650;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45509;12;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000650;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45509;12;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000323;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45498;19;km;Public Transport;Home <> Client;
45510;Exported;00000323;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45498;19;km;Public Transport;Home <> Client;
45510;Exported;00000323;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45491;19;km;Public Transport;Home <> Client;
45510;Exported;00000323;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45491;19;km;Public Transport;Home <> Client;
45510;Exported;00000323;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45477;19;km;Public Transport;Home <> Client;
45510;Exported;00000323;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45477;19;km;Public Transport;Home <> Client;
45510;Exported;00000394;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45509;73;km;Public Transport;Home <> Client;
45510;Exported;00000394;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45509;73;km;Public Transport;Home <> Client;
45510;Exported;00000394;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45506;54;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000394;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45506;54;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000394;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45505;73;km;Public Transport;Home <> Client;
45510;Exported;00000394;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45505;73;km;Public Transport;Home <> Client;
45510;Exported;00000558;VANL;VANL - BAM - Infra Regionaal Transformatie - BAM Hourly grouped;45510;37;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000558;VANL;VANL - BAM - Infra Regionaal Transformatie - BAM Hourly grouped;45510;37;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000558;VANL;VANL - BAM - Infra Regionaal Transformatie - BAM Hourly grouped;45509;5;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000558;VANL;VANL - BAM - Infra Regionaal Transformatie - BAM Hourly grouped;45509;5;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000747;VANL;VANL - ABN - DFC - ABN Hourly grouped;45506;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000747;VANL;VANL - ABN - DFC - ABN Hourly grouped;45506;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000747;VANL;VANL - ABN - DFC - ABN Hourly grouped;45505;65;km;Public Transport;Home <> Client;
45510;Exported;00000747;VANL;VANL - ABN - DFC - ABN Hourly grouped;45505;65;km;Public Transport;Home <> Client;
45510;Exported;00000475;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45510;70;km;Public Transport;Home <> Client;
45510;Exported;00000475;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45510;70;km;Public Transport;Home <> Client;
45510;Exported;00000465;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45510;23;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000465;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45510;23;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000866;VANL;VANL - Valcon - Startersdag - Valcon Uncharged;45505;58;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45509;65;km;Public Transport;Home <> Client;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45509;65;km;Public Transport;Home <> Client;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45506;60;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45506;60;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45505;60;km;Public Transport;Home <> Client;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45505;9;km;Public Transport;Home <> Client;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45505;65;km;Public Transport;Home <> Client;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45503;60;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000540;VANL;VANL - BAM - BI Competence Center - BAM Self-billing;45503;60;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45504;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45503;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45502;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45499;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45498;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45497;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45496;5;km;Bicycle or Walking;Valcon Office <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45495;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45492;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45491;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45490;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45489;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45488;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45485;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45484;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45483;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45481;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45478;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45477;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45476;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45475;5;km;Bicycle or Walking;Home <> Valcon Office;
45510;Exported;00000240;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45474;5;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000422;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45510;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000422;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45510;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000723;VANL;VANL - IMG - Duurzaam Herstel Fase 1 - Vanberkel Hourly grouped;45510;194;km;Public Transport;Home <> Client;
45510;Exported;00000723;VANL;VANL - IMG - Duurzaam Herstel Fase 1 - Vanberkel Hourly grouped;45510;194;km;Public Transport;Home <> Client;
45510;Exported;00000833;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;38;km;Public Transport;Home <> Client;
45510;Exported;00000833;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;38;km;Public Transport;Home <> Client;
45510;Exported;00000465;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;21;km;Public Transport;Home <> Client;
45510;Exported;00000465;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;21;km;Public Transport;Home <> Client;
45510;Exported;00000495;VANL;VANL - VolkerWessels Telecom - FiberWorkz - VolkerWessels Telecom Hourly grouped;45509;90;km;Public Transport;Home <> Client;
45510;Exported;00000495;VANL;VANL - VolkerWessels Telecom - FiberWorkz - VolkerWessels Telecom Hourly grouped;45505;90;km;Public Transport;Home <> Client;
45510;Exported;00000495;VANL;VANL - VolkerWessels Telecom - FiberWorkz - VolkerWessels Telecom Hourly grouped;45504;90;km;Public Transport;Home <> Client;
45510;Exported;00000495;VANL;VANL - VolkerWessels Telecom - FiberWorkz - VolkerWessels Telecom Hourly grouped;45503;90;km;Public Transport;Home <> Client;
45510;Exported;00000495;VANL;VANL - VolkerWessels Telecom - FiberWorkz - VolkerWessels Telecom Hourly grouped;45502;90;km;Public Transport;Home <> Client;
45510;Exported;00000495;VANL;VANL - VolkerWessels Telecom - FiberWorkz - VolkerWessels Telecom Hourly grouped;45499;90;km;Public Transport;Home <> Client;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45509;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45509;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45504;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45504;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45502;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45502;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45497;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45497;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45495;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45495;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45492;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;10115632;VANL;VANL - Rituals - Product Data Model Implementation - Rituals Hourly grouped;45492;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000422;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000422;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000576;VANL;VANL - Rabobank - Chain Housing Transformatie 2024 - Magnit Self-billing;45509;50;km;Public Transport;Home <> Client;
45510;Exported;00000576;VANL;VANL - Rabobank - Chain Housing Transformatie 2024 - Magnit Self-billing;45509;50;km;Public Transport;Home <> Client;
45510;Exported;00000624;VANL;VANL - BagsID - Cabin Baggage Screening - BagsID Hourly grouped;45509;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000624;VANL;VANL - BagsID - Cabin Baggage Screening - BagsID Hourly grouped;45509;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000624;VANL;VANL - BagsID - Cabin Baggage Screening - BagsID Hourly grouped;45505;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000624;VANL;VANL - BagsID - Cabin Baggage Screening - BagsID Hourly grouped;45505;45;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000851;VANL;FCNL - NCG - IE Team - Between Self-billing;45509;40;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000851;VANL;FCNL - NCG - IE Team - Between Self-billing;45509;40;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000868;VANL;VANL - Valcon - Startersdag - Valcon Uncharged;45506;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000868;VANL;VANL - Valcon - Startersdag - Valcon Uncharged;45506;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000868;VANL;VANL - Valcon - Startersdag - Valcon Uncharged;45505;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000868;VANL;VANL - Valcon - Startersdag - Valcon Uncharged;45505;40;km;Public Transport;Home <> Valcon Office;
45510;Exported;18107111;VANL;VANL - IMG - Compensatie Voor Schade - Circle8 Hourly 1DNL;45503;166;km;Personal Car;Home <> Client;Petrol
45510;Exported;18107111;VANL;VANL - IMG - Compensatie Voor Schade - Circle8 Hourly 1DNL;45503;166;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000734;VANL;VANL - NCG - JS Consultancy - JS Consultancy Self-billing;45506;40;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000734;VANL;VANL - NCG - JS Consultancy - JS Consultancy Self-billing;45506;40;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000734;VANL;VANL - NCG - JS Consultancy - JS Consultancy Self-billing;45504;170;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000734;VANL;VANL - NCG - JS Consultancy - JS Consultancy Self-billing;45504;170;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000734;VANL;VANL - NCG - JS Consultancy - JS Consultancy Self-billing;45502;40;km;Personal Car;Home <> Valcon Office;Petrol
